stop_id,stop_name,city,route_type,routes_serviced,flood_risk_category,access_to_hospital_category,job_access_category,worker_vulnerability_category,latitude,longitude
550566,69 ST/52 AV,nyc,Bus,['Q18'],0,0,1,1,40.733769,-73.89619
550568,69 ST/53 AV,nyc,Bus,['Q18'],0,0,1,0,40.731674,-73.895961
550569,53 AV/68 ST,nyc,Bus,['Q18'],0,0,1,0,40.731605,-73.896911
550546,BROADWAY/56 ST,nyc,Bus,['Q18'],2,0,1,1,40.752631,-73.90511
550547,BROADWAY/57 ST,nyc,Bus,['Q18'],2,0,1,1,40.752049,-73.904316
550548,58 ST/37 AV,nyc,Bus,['Q18'],2,0,2,1,40.750041,-73.904574
553288,58 ST/39 AV,nyc,Bus,['Q18'],2,0,2,1,40.748071,-73.905393
550550,58 ST/WOODSIDE AV,nyc,Bus,['Q18'],2,0,1,1,40.745875,-73.906526
550538,30 AV/49 ST,nyc,Bus,['Q18'],0,0,1,1,40.760665,-73.907876
550598,30 AV/46 ST,nyc,Bus,['Q18'],0,1,1,1,40.761788,-73.910359
550599,30 AV/44 ST,nyc,Bus,['Q18'],0,1,1,1,40.762432,-73.911629
550600,30 AV/42 ST,nyc,Bus,['Q18'],0,1,1,1,40.763323,-73.913436
550533,30 AV/STEINWAY ST,nyc,Bus,['Q18'],0,1,2,1,40.76392,-73.914819
552048,STEINWAY ST/30 AV,nyc,Bus,['Q101'],0,1,2,1,40.764008,-73.914773
550602,30 AV/34 ST,nyc,Bus,['Q18'],0,2,2,1,40.765913,-73.919083
550532,30 AV/STEINWAY ST,nyc,Bus,['Q18'],2,1,2,1,40.763947,-73.915187
552049,STEINWAY ST/30 AV,nyc,Bus,['Q101'],2,1,2,1,40.763822,-73.915208
552047,STEINWAY ST/31 AV,nyc,Bus,['Q101'],2,1,2,1,40.76124,-73.917317
552045,STEINWAY ST/BROADWAY,nyc,Bus,['Q101'],2,1,2,1,40.758747,-73.919308
552044,STEINWAY ST/BROADWAY,nyc,Bus,['Q101'],2,1,2,1,40.759268,-73.918722
552188,BROADWAY/42 ST,nyc,Bus,['Q104'],2,0,2,1,40.758401,-73.917502
552186,BROADWAY/STEINWAY ST,nyc,Bus,['Q104'],2,1,2,1,40.759213,-73.919292
550534,30 AV/43 ST,nyc,Bus,['Q18'],0,1,1,1,40.762603,-73.912527
552046,STEINWAY ST/31 AV,nyc,Bus,['Q101'],0,1,2,1,40.761485,-73.916871
550535,30 AV/45 ST,nyc,Bus,['Q18'],1,1,1,1,40.761827,-73.910883
550536,30 AV/47 ST,nyc,Bus,['Q18'],1,0,1,1,40.761121,-73.909262
551044,COLLEGE PT BL/9 AV,nyc,Bus,['Q25'],2,0,0,1,40.789617,-73.845466
551045,7 AV/COLLEGE PT BL,nyc,Bus,['Q25'],2,0,0,1,40.790784,-73.845291
551036,7 AV/125 ST,nyc,Bus,['Q25'],2,0,0,1,40.790699,-73.842466
551046,127 ST/7 AV,nyc,Bus,['Q25'],2,0,0,1,40.79056,-73.840964
551033,127 ST/9 AV,nyc,Bus,['Q25'],2,0,0,1,40.789143,-73.841033
551030,127 ST/11 AV,nyc,Bus,['Q25'],2,0,1,1,40.788088,-73.84092
551032,127 ST/9 AV,nyc,Bus,['Q25'],2,0,0,1,40.789486,-73.840843
551034,7 AV/127 ST,nyc,Bus,['Q25'],2,0,0,1,40.790797,-73.84107
551035,7 AV/125 ST,nyc,Bus,['Q25'],2,0,0,1,40.790842,-73.842613
551037,COLLEGE PT BL/7 AV,nyc,Bus,['Q25'],2,0,0,0,40.791002,-73.845388
551038,COLLEGE PT BL/LAX AV,nyc,Bus,['Q25'],2,0,0,0,40.792544,-73.845295
551031,127 ST/11 AV,nyc,Bus,['Q25'],1,0,1,1,40.787751,-73.841127
551027,127 ST/18 AV,nyc,Bus,['Q25'],1,0,1,1,40.783426,-73.841219
551029,127 ST/14 AV,nyc,Bus,['Q25'],1,0,1,1,40.785467,-73.84105
553246,135 AV/142 ST,nyc,Bus,['Q40'],2,0,0,0,40.668177,-73.796835
551479,143 ST/130 AV,nyc,Bus,['Q40'],2,0,0,0,40.670716,-73.796143
553250,143 ST/135 AV,nyc,Bus,['Q40'],2,0,0,0,40.668437,-73.796352
553248,143 ST/130 AV,nyc,Bus,['Q40'],2,0,0,0,40.671069,-73.795899
553249,143 ST/SUTTER AV,nyc,Bus,['Q40'],2,0,0,0,40.67261,-73.795669
551477,143 ST/ROCKAWAY BL,nyc,Bus,['Q40'],2,0,0,1,40.67366,-73.795799
551478,143 ST/SUTTER AV,nyc,Bus,['Q40'],2,0,0,1,40.672231,-73.79588
553151,ROCKAWAY BL/140 ST,nyc,Bus,['Q07'],2,0,0,1,40.674174,-73.800361
550093,ROCKAWAY BL/142 ST,nyc,Bus,['Q07'],2,0,0,1,40.674005,-73.798488
550094,ROCKAWAY BL/143 ST,nyc,Bus,['Q07'],2,0,0,1,40.673767,-73.795809
550095,ROCKAWAY BL/145 ST,nyc,Bus,['Q07'],2,0,0,0,40.673572,-73.793645
550117,ROCKAWAY BL/143 ST,nyc,Bus,"['Q40', 'Q07']",1,0,0,1,40.674018,-73.795929
551449,142 ST/ROCKAWAY BL,nyc,Bus,['Q40'],1,0,0,1,40.674378,-73.798799
551451,142 ST/120 AV,nyc,Bus,['Q40'],1,0,0,1,40.676432,-73.799173
551452,142 ST/FOCH BL,nyc,Bus,['Q40'],1,0,0,1,40.67866,-73.799592
551453,142 ST/FOCH BL,nyc,Bus,['Q40'],1,0,0,1,40.678533,-73.799759
551476,142 ST/120 AV,nyc,Bus,['Q40'],1,0,0,1,40.676322,-73.799348
551450,142 ST/ROCKAWAY BL,nyc,Bus,['Q40'],1,0,0,1,40.674308,-73.798997
550118,ROCKAWAY BL/142 ST,nyc,Bus,['Q07'],1,0,0,1,40.674307,-73.799117
550119,ROCKAWAY BL/140 ST,nyc,Bus,['Q07'],1,0,0,1,40.674451,-73.800602
551454,142 ST/116 AV,nyc,Bus,['Q40'],1,0,0,1,40.680779,-73.799958
551456,142 ST/115 AV,nyc,Bus,['Q40'],1,0,0,1,40.682331,-73.800713
551457,142 ST/115 AV,nyc,Bus,['Q40'],1,0,0,1,40.682209,-73.800842
550230,LIBERTY AV /REMINGTON ST,nyc,Bus,"['Q09', 'Q112']",1,1,0,0,40.692205,-73.809362
551465,LAKEWOOD AV/PINEGROVE ST,nyc,Bus,['Q40'],0,0,0,1,40.689128,-73.803908
551475,LAKEWOOD AV/REMINGTON ST,nyc,Bus,['Q40'],0,0,0,1,40.68873,-73.804479
550044,SUTPHIN BL/ARLINGTON TER,nyc,Bus,['Q06'],0,0,0,0,40.692378,-73.798775
550045,SUTPHIN BL/FERNDALE AV,nyc,Bus,['Q06'],0,0,0,0,40.69115,-73.797775
550046,SUTPHIN BL/110 AV,nyc,Bus,['Q06'],0,0,0,1,40.689914,-73.796786
551473,88 AV/SUTPHIN BL,nyc,Bus,['Q40'],0,1,2,1,40.704863,-73.809039
